,lat,lon,value,year
18999,47.5625,7.583333333333333,0.0,1981
41219,47.5625,7.583333333333333,0.0,1982
63439,47.5625,7.583333333333333,0.0,1983
85659,47.5625,7.583333333333333,0.0,1984
107879,47.5625,7.583333333333333,0.0,1985
130099,47.5625,7.583333333333333,1.0,1986
152319,47.5625,7.583333333333333,0.0,1987
174539,47.5625,7.583333333333333,1.0,1988
196759,47.5625,7.583333333333333,0.0,1989
218979,47.5625,7.583333333333333,0.0,1990
241199,47.5625,7.583333333333333,0.0,1991
263419,47.5625,7.583333333333333,0.0,1992
285639,47.5625,7.583333333333333,0.0,1993
307859,47.5625,7.583333333333333,0.0,1994
330079,47.5625,7.583333333333333,0.0,1995
352299,47.5625,7.583333333333333,0.0,1996
374519,47.5625,7.583333333333333,2.0,1997
396739,47.5625,7.583333333333333,0.0,1998
418959,47.5625,7.583333333333333,4.0,1999
441179,47.5625,7.583333333333333,2.0,2000
463399,47.5625,7.583333333333333,0.0,2001
485619,47.5625,7.583333333333333,0.0,2002
507839,47.5625,7.583333333333333,0.0,2003
530059,47.5625,7.583333333333333,1.0,2004
552279,47.5625,7.583333333333333,3.0,2005
574499,47.5625,7.583333333333333,0.0,2006
596719,47.5625,7.583333333333333,0.0,2007
618939,47.5625,7.583333333333333,4.0,2008
641159,47.5625,7.583333333333333,0.0,2009
663379,47.5625,7.583333333333333,4.0,2010
685599,47.5625,7.583333333333333,0.0,2011
707819,47.5625,7.583333333333333,1.0,2012
730039,47.5625,7.583333333333333,3.0,2013
752259,47.5625,7.583333333333333,2.0,2014
774479,47.5625,7.583333333333333,2.0,2015
796699,47.5625,7.583333333333333,7.0,2016
818919,47.5625,7.583333333333333,3.0,2017
841139,47.5625,7.583333333333333,5.0,2018
863359,47.5625,7.583333333333333,0.0,2019
885579,47.5625,7.583333333333333,8.0,2020
907799,47.5625,7.583333333333333,7.0,2021
930019,47.5625,7.583333333333333,0.0,2022
952239,47.5625,7.583333333333333,5.0,2023
974459,47.5625,7.583333333333333,2.0,2024
