,lat,lon,value,year
4630,46.208333333333336,6.145833333333333,0.0,1981
26850,46.208333333333336,6.145833333333333,0.0,1982
49070,46.208333333333336,6.145833333333333,0.0,1983
71290,46.208333333333336,6.145833333333333,0.0,1984
93510,46.208333333333336,6.145833333333333,0.0,1985
115730,46.208333333333336,6.145833333333333,1.0,1986
137950,46.208333333333336,6.145833333333333,0.0,1987
160170,46.208333333333336,6.145833333333333,0.0,1988
182390,46.208333333333336,6.145833333333333,0.0,1989
204610,46.208333333333336,6.145833333333333,0.0,1990
226830,46.208333333333336,6.145833333333333,1.0,1991
249050,46.208333333333336,6.145833333333333,0.0,1992
271270,46.208333333333336,6.145833333333333,0.0,1993
293490,46.208333333333336,6.145833333333333,0.0,1994
315710,46.208333333333336,6.145833333333333,0.0,1995
337930,46.208333333333336,6.145833333333333,1.0,1996
360150,46.208333333333336,6.145833333333333,1.0,1997
382370,46.208333333333336,6.145833333333333,0.0,1998
404590,46.208333333333336,6.145833333333333,6.0,1999
426810,46.208333333333336,6.145833333333333,1.0,2000
449030,46.208333333333336,6.145833333333333,0.0,2001
471250,46.208333333333336,6.145833333333333,0.0,2002
493470,46.208333333333336,6.145833333333333,0.0,2003
515690,46.208333333333336,6.145833333333333,1.0,2004
537910,46.208333333333336,6.145833333333333,1.0,2005
560130,46.208333333333336,6.145833333333333,0.0,2006
582350,46.208333333333336,6.145833333333333,1.0,2007
604570,46.208333333333336,6.145833333333333,3.0,2008
626790,46.208333333333336,6.145833333333333,0.0,2009
649010,46.208333333333336,6.145833333333333,1.0,2010
671230,46.208333333333336,6.145833333333333,0.0,2011
693450,46.208333333333336,6.145833333333333,0.0,2012
715670,46.208333333333336,6.145833333333333,4.0,2013
737890,46.208333333333336,6.145833333333333,1.0,2014
760110,46.208333333333336,6.145833333333333,0.0,2015
782330,46.208333333333336,6.145833333333333,1.0,2016
804550,46.208333333333336,6.145833333333333,1.0,2017
826770,46.208333333333336,6.145833333333333,2.0,2018
848990,46.208333333333336,6.145833333333333,0.0,2019
871210,46.208333333333336,6.145833333333333,7.0,2020
893430,46.208333333333336,6.145833333333333,1.0,2021
915650,46.208333333333336,6.145833333333333,0.0,2022
937870,46.208333333333336,6.145833333333333,1.0,2023
960090,46.208333333333336,6.145833333333333,2.0,2024
982310,46.208333333333336,6.145833333333333,7.0,2025
1004530,46.208333333333336,6.145833333333333,2.0,2026
1026750,46.208333333333336,6.145833333333333,2.0,2027
1048970,46.208333333333336,6.145833333333333,0.0,2028
1071190,46.208333333333336,6.145833333333333,1.0,2029
1093410,46.208333333333336,6.145833333333333,0.0,2030
1115630,46.208333333333336,6.145833333333333,4.0,2031
1137850,46.208333333333336,6.145833333333333,0.0,2032
1160070,46.208333333333336,6.145833333333333,6.0,2033
1182290,46.208333333333336,6.145833333333333,3.0,2034
1204510,46.208333333333336,6.145833333333333,3.0,2035
1226730,46.208333333333336,6.145833333333333,3.0,2036
1248950,46.208333333333336,6.145833333333333,0.0,2037
1271170,46.208333333333336,6.145833333333333,2.0,2038
1293390,46.208333333333336,6.145833333333333,6.0,2039
1315610,46.208333333333336,6.145833333333333,1.0,2040
1337830,46.208333333333336,6.145833333333333,6.0,2041
1360050,46.208333333333336,6.145833333333333,1.0,2042
1382270,46.208333333333336,6.145833333333333,1.0,2043
1404490,46.208333333333336,6.145833333333333,0.0,2044
1426710,46.208333333333336,6.145833333333333,1.0,2045
1448930,46.208333333333336,6.145833333333333,3.0,2046
1471150,46.208333333333336,6.145833333333333,0.0,2047
1493370,46.208333333333336,6.145833333333333,0.0,2048
1515590,46.208333333333336,6.145833333333333,0.0,2049
1537810,46.208333333333336,6.145833333333333,2.0,2050
1560030,46.208333333333336,6.145833333333333,5.0,2051
1582250,46.208333333333336,6.145833333333333,2.0,2052
1604470,46.208333333333336,6.145833333333333,10.0,2053
1626690,46.208333333333336,6.145833333333333,1.0,2054
1648910,46.208333333333336,6.145833333333333,8.0,2055
1671130,46.208333333333336,6.145833333333333,0.0,2056
1693350,46.208333333333336,6.145833333333333,0.0,2057
1715570,46.208333333333336,6.145833333333333,0.0,2058
1737790,46.208333333333336,6.145833333333333,4.0,2059
1760010,46.208333333333336,6.145833333333333,0.0,2060
1782230,46.208333333333336,6.145833333333333,2.0,2061
1804450,46.208333333333336,6.145833333333333,1.0,2062
1826670,46.208333333333336,6.145833333333333,4.0,2063
1848890,46.208333333333336,6.145833333333333,0.0,2064
1871110,46.208333333333336,6.145833333333333,1.0,2065
1893330,46.208333333333336,6.145833333333333,5.0,2066
1915550,46.208333333333336,6.145833333333333,5.0,2067
1937770,46.208333333333336,6.145833333333333,3.0,2068
1959990,46.208333333333336,6.145833333333333,1.0,2069
1982210,46.208333333333336,6.145833333333333,7.0,2070
2004430,46.208333333333336,6.145833333333333,7.0,2071
2026650,46.208333333333336,6.145833333333333,8.0,2072
2048870,46.208333333333336,6.145833333333333,7.0,2073
2071090,46.208333333333336,6.145833333333333,5.0,2074
2093310,46.208333333333336,6.145833333333333,5.0,2075
2115530,46.208333333333336,6.145833333333333,3.0,2076
2137750,46.208333333333336,6.145833333333333,0.0,2077
2159970,46.208333333333336,6.145833333333333,2.0,2078
2182190,46.208333333333336,6.145833333333333,19.0,2079
2204410,46.208333333333336,6.145833333333333,11.0,2080
2226630,46.208333333333336,6.145833333333333,5.0,2081
2248850,46.208333333333336,6.145833333333333,0.0,2082
2271070,46.208333333333336,6.145833333333333,1.0,2083
2293290,46.208333333333336,6.145833333333333,1.0,2084
2315510,46.208333333333336,6.145833333333333,2.0,2085
2337730,46.208333333333336,6.145833333333333,4.0,2086
2359950,46.208333333333336,6.145833333333333,0.0,2087
2382170,46.208333333333336,6.145833333333333,3.0,2088
2404390,46.208333333333336,6.145833333333333,0.0,2089
2426610,46.208333333333336,6.145833333333333,1.0,2090
2448830,46.208333333333336,6.145833333333333,6.0,2091
2471050,46.208333333333336,6.145833333333333,2.0,2092
2493270,46.208333333333336,6.145833333333333,0.0,2093
2515490,46.208333333333336,6.145833333333333,1.0,2094
2537710,46.208333333333336,6.145833333333333,0.0,2095
2559930,46.208333333333336,6.145833333333333,8.0,2096
2582150,46.208333333333336,6.145833333333333,4.0,2097
2604370,46.208333333333336,6.145833333333333,3.0,2098
