,lat,lon,value,year
17065,47.375,8.541666666666666,0.0,1981
39285,47.375,8.541666666666666,0.0,1982
61505,47.375,8.541666666666666,0.0,1983
83725,47.375,8.541666666666666,0.0,1984
105945,47.375,8.541666666666666,0.0,1985
128165,47.375,8.541666666666666,0.0,1986
150385,47.375,8.541666666666666,0.0,1987
172605,47.375,8.541666666666666,0.0,1988
194825,47.375,8.541666666666666,0.0,1989
217045,47.375,8.541666666666666,0.0,1990
239265,47.375,8.541666666666666,0.0,1991
261485,47.375,8.541666666666666,0.0,1992
283705,47.375,8.541666666666666,0.0,1993
305925,47.375,8.541666666666666,0.0,1994
328145,47.375,8.541666666666666,0.0,1995
350365,47.375,8.541666666666666,0.0,1996
372585,47.375,8.541666666666666,0.0,1997
394805,47.375,8.541666666666666,0.0,1998
417025,47.375,8.541666666666666,0.0,1999
439245,47.375,8.541666666666666,0.0,2000
461465,47.375,8.541666666666666,0.0,2001
483685,47.375,8.541666666666666,0.0,2002
505905,47.375,8.541666666666666,0.0,2003
528125,47.375,8.541666666666666,0.0,2004
550345,47.375,8.541666666666666,0.0,2005
572565,47.375,8.541666666666666,0.0,2006
594785,47.375,8.541666666666666,0.0,2007
617005,47.375,8.541666666666666,0.0,2008
639225,47.375,8.541666666666666,0.0,2009
661445,47.375,8.541666666666666,0.0,2010
683665,47.375,8.541666666666666,0.0,2011
705885,47.375,8.541666666666666,0.0,2012
728105,47.375,8.541666666666666,0.0,2013
750325,47.375,8.541666666666666,0.0,2014
772545,47.375,8.541666666666666,0.0,2015
794765,47.375,8.541666666666666,0.0,2016
816985,47.375,8.541666666666666,0.0,2017
839205,47.375,8.541666666666666,1.0,2018
861425,47.375,8.541666666666666,0.0,2019
883645,47.375,8.541666666666666,0.0,2020
905865,47.375,8.541666666666666,1.0,2021
928085,47.375,8.541666666666666,0.0,2022
950305,47.375,8.541666666666666,0.0,2023
972525,47.375,8.541666666666666,0.0,2024
994745,47.375,8.541666666666666,3.0,2025
1016965,47.375,8.541666666666666,0.0,2026
1039185,47.375,8.541666666666666,0.0,2027
1061405,47.375,8.541666666666666,0.0,2028
1083625,47.375,8.541666666666666,0.0,2029
1105845,47.375,8.541666666666666,0.0,2030
1128065,47.375,8.541666666666666,1.0,2031
1150285,47.375,8.541666666666666,0.0,2032
1172505,47.375,8.541666666666666,2.0,2033
1194725,47.375,8.541666666666666,1.0,2034
1216945,47.375,8.541666666666666,0.0,2035
1239165,47.375,8.541666666666666,0.0,2036
1261385,47.375,8.541666666666666,0.0,2037
1283605,47.375,8.541666666666666,0.0,2038
1305825,47.375,8.541666666666666,2.0,2039
1328045,47.375,8.541666666666666,0.0,2040
1350265,47.375,8.541666666666666,1.0,2041
1372485,47.375,8.541666666666666,0.0,2042
1394705,47.375,8.541666666666666,0.0,2043
1416925,47.375,8.541666666666666,0.0,2044
1439145,47.375,8.541666666666666,0.0,2045
1461365,47.375,8.541666666666666,2.0,2046
1483585,47.375,8.541666666666666,0.0,2047
1505805,47.375,8.541666666666666,0.0,2048
1528025,47.375,8.541666666666666,0.0,2049
1550245,47.375,8.541666666666666,0.0,2050
1572465,47.375,8.541666666666666,0.0,2051
1594685,47.375,8.541666666666666,1.0,2052
1616905,47.375,8.541666666666666,0.0,2053
1639125,47.375,8.541666666666666,0.0,2054
1661345,47.375,8.541666666666666,0.0,2055
1683565,47.375,8.541666666666666,0.0,2056
1705785,47.375,8.541666666666666,0.0,2057
1728005,47.375,8.541666666666666,0.0,2058
1750225,47.375,8.541666666666666,1.0,2059
1772445,47.375,8.541666666666666,0.0,2060
1794665,47.375,8.541666666666666,0.0,2061
1816885,47.375,8.541666666666666,0.0,2062
1839105,47.375,8.541666666666666,0.0,2063
1861325,47.375,8.541666666666666,0.0,2064
1883545,47.375,8.541666666666666,0.0,2065
1905765,47.375,8.541666666666666,1.0,2066
1927985,47.375,8.541666666666666,0.0,2067
1950205,47.375,8.541666666666666,1.0,2068
1972425,47.375,8.541666666666666,0.0,2069
1994645,47.375,8.541666666666666,0.0,2070
2016865,47.375,8.541666666666666,1.0,2071
